age,gender,education,"Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset",Open to new experiences,"Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative",das1,das2,das3,das4,das5,das6,das7,das8,das9,das10,das11,das12,das13,das14,das15,das16,das17,das18,das19,das20,das21,das22,das23,das24,das25,das26,das27,das28,das29,das30,das31,das32,das33,das34,das35,repetition-1,repetition-2,repetition-3,main-argument-context-positive-framing-topic1,main-argument-context-positive-framing-topic2,main-argument-context-positive-framing-topic3,social-proof-1,social-proof-2,social-proof-3,flattery-1,flattery-2,flattery-3,rheto-question-1,rheto-question-2,rheto-question-3,antanagoge-1,antanagoge-2,antanagogue-3,logic-1,logic-2,logic-3,authority-1,authority-2,authority-3,pathos-1,pathos-2,pathos-3,anaphora-1,anaphora-2,anaphora-3
26- 35,Man,"Bachelor's degree (e.g. BA, BS)",Disagree Moderately,Disagree a Little,Agree a Little,Agree a Little,Agree Moderately,Agree Strongly,Disagree Strongly,Agree Moderately,Agree Strongly,Disagree a Little,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Neutral,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Very Much,Neutral,Agree Strongly,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Very Much,Neutral,5,6,5,6,8,5,4,5,5,7,7,4,5,6,5,6,7,6,7,8,4,8,9,7,7,6,5,4,6,3
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree Moderately,Disagree Moderately,Agree a Little,Agree Strongly,Agree a Little,Agree Moderately,Agree Moderately,Disagree a Little,Agree a Little,Agree a Little,Agree Strongly,Disagree Slightly,Disagree Very Much,Agree Slightly,Neutral,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Slightly,1,9,8,8,10,10,1,10,8,5,10,8,4,9,9,1,9,10,5,10,10,1,8,10,1,6,10,2,10,10
26- 35,Woman,"Some college, no degree",Agree a Little,Agree a Little,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Strongly,Agree Moderately,Disagree Moderately,Agree Strongly,Disagree a Little,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Neutral,Agree Strongly,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Agree Strongly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,7,10,8,5,10,10,3,4,1,4,5,6,6,7,5,3,4,6,4,4,4,5,7,7,7,9,6,7,5,5
Under 26,Non-binary or Gender diverse,High school degree or equivalent (e.g. GED),Agree Moderately,Agree Strongly,Agree Moderately,Neither Agree nor Disagree,Agree a Little,Disagree Moderately,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Moderately,Agree Strongly,Disagree Slightly,Disagree Very Much,Agree Strongly,Neutral,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Neutral,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Agree Strongly,Agree Slightly,Neutral,Agree Strongly,Agree Slightly,Neutral,Agree Slightly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Neutral,Disagree Slightly,Disagree Slightly,Agree Slightly,Neutral,Agree Strongly,Disagree Very Much,7,10,6,7,10,5,10,8,5,9,9,3,4,6,7,7,10,5,10,7,10,8,9,10,9,10,9,6,8,10
Under 26,Man,"Bachelor's degree (e.g. BA, BS)",Agree a Little,Agree Moderately,Disagree a Little,Agree Moderately,Agree Strongly,Agree Moderately,Agree Strongly,Neither Agree nor Disagree,Agree Moderately,Disagree Strongly,Agree Slightly,Agree Slightly,Disagree Slightly,Neutral,Disagree Very Much,Neutral,Disagree Slightly,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Strongly,Neutral,Disagree Slightly,Disagree Very Much,Neutral,Agree Slightly,Neutral,Disagree Slightly,Neutral,Agree Slightly,Disagree Slightly,Disagree Very Much,Neutral,Disagree Slightly,Disagree Slightly,Agree Slightly,Neutral,Agree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Neutral,Neutral,5,9,7,2,9,6,1,7,3,5,5,4,2,1,3,7,9,9,3,5,6,3,6,9,5,4,3,2,1,7
26- 35,Man,High school degree or equivalent (e.g. GED),Disagree Moderately,Agree Strongly,Neither Agree nor Disagree,Disagree Moderately,Disagree a Little,Agree Strongly,Disagree a Little,Agree a Little,Agree Moderately,Neither Agree nor Disagree,Agree Strongly,Neutral,Disagree Slightly,Neutral,Disagree Slightly,Neutral,Neutral,Disagree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Neutral,Agree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,2,10,5,3,10,8,2,5,5,2,2,2,1,8,6,1,7,5,1,10,5,1,7,8,3,8,6,1,10,6
36 - 45,Woman,"Master's degree (e.g. MA, MS, MEd)",Agree Moderately,Disagree Moderately,Agree Strongly,Disagree a Little,Agree a Little,Neither Agree nor Disagree,Agree Moderately,Disagree Strongly,Agree Moderately,Disagree a Little,Agree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Disagree Slightly,Neutral,Agree Slightly,Neutral,Neutral,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Neutral,Neutral,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Neutral,Neutral,1,10,1,4,9,10,4,10,9,7,9,6,3,2,2,4,4,7,2,7,8,3,3,8,4,9,3,8,5,7
Under 26,Man,High school degree or equivalent (e.g. GED),Disagree Moderately,Neither Agree nor Disagree,Agree Moderately,Agree Moderately,Disagree a Little,Agree Strongly,Agree Strongly,Disagree Moderately,Disagree a Little,Agree Moderately,Agree Strongly,Disagree Slightly,Disagree Very Much,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Very Much,Agree Strongly,Neutral,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,1,10,6,4,10,6,3,8,7,4,10,7,3,10,6,3,10,8,9,10,6,4,1,10,5,7,8,3,10,9
Under 26,Man,"Some college, no degree",Disagree Moderately,Agree a Little,Disagree Strongly,Agree Moderately,Agree Strongly,Disagree a Little,Disagree a Little,Agree Moderately,Disagree Moderately,Disagree Strongly,Agree Slightly,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Strongly,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Strongly,Disagree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,Disagree Slightly,Disagree Slightly,7,8,6,8,10,7,6,8,6,5,8,7,7,9,7,4,8,6,7,9,7,3,6,7,6,7,7,6,7,6
36 - 45,Man,"Some college, no degree",Disagree a Little,Agree Moderately,Agree Strongly,Agree a Little,Agree a Little,Agree a Little,Agree Moderately,Agree Moderately,Agree a Little,Disagree Strongly,Agree Strongly,Neutral,Neutral,Agree Strongly,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Neutral,Agree Strongly,Agree Strongly,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Agree Slightly,Neutral,Disagree Very Much,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Disagree Slightly,Neutral,Neutral,2,5,2,3,9,9,1,8,1,2,1,3,4,2,5,4,6,8,3,5,8,5,8,10,2,8,4,5,7,10
26- 35,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree a Little,Agree a Little,Agree Strongly,Agree a Little,Agree Strongly,Neither Agree nor Disagree,Agree a Little,Disagree Moderately,Agree a Little,Disagree Strongly,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Neutral,Neutral,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Agree Strongly,Neutral,Agree Slightly,Agree Strongly,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Agree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Neutral,Disagree Very Much,Disagree Very Much,2,4,7,2,5,7,1,5,8,3,5,6,1,7,7,1,4,6,5,3,5,5,5,5,3,5,5,2,4,4
46 - 55,Man,"Bachelor's degree (e.g. BA, BS)",Disagree a Little,Agree Moderately,Agree Strongly,Disagree Moderately,Agree Strongly,Disagree Moderately,Agree a Little,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Neutral,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Agree Strongly,Neutral,Disagree Very Much,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Strongly,Agree Slightly,6,6,6,4,10,10,2,10,10,5,10,10,6,6,7,2,10,9,7,9,10,5,10,10,5,10,10,6,10,10
Under 26,Man,"Bachelor's degree (e.g. BA, BS)",Disagree Moderately,Disagree Strongly,Agree Moderately,Agree a Little,Agree a Little,Agree Moderately,Agree Strongly,Disagree Strongly,Agree Strongly,Agree a Little,Disagree Very Much,Neutral,Agree Slightly,Agree Slightly,Neutral,Neutral,Neutral,Agree Slightly,Neutral,Agree Slightly,Disagree Very Much,Neutral,Disagree Slightly,Agree Slightly,Neutral,Disagree Very Much,Neutral,Agree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Neutral,Agree Slightly,Neutral,Agree Slightly,Neutral,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Neutral,Disagree Slightly,Disagree Very Much,2,7,3,8,10,9,10,10,2,2,10,2,4,5,4,3,10,3,4,8,5,6,8,4,2,7,3,5,7,2
26- 35,Man,"Master's degree (e.g. MA, MS, MEd)",Agree a Little,Agree Moderately,Agree Strongly,Agree Moderately,Neither Agree nor Disagree,Agree Moderately,Agree a Little,Disagree a Little,Agree a Little,Agree a Little,Agree Slightly,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Strongly,Agree Slightly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Slightly,Agree Strongly,Disagree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Strongly,Agree Slightly,Agree Slightly,Disagree Very Much,4,7,5,6,9,2,3,8,3,3,9,3,5,6,5,6,9,3,8,9,6,7,9,5,7,9,8,7,9,8
Under 26,Man,"Some college, no degree",Agree a Little,Agree a Little,Agree a Little,Disagree a Little,Disagree a Little,Agree Moderately,Agree Moderately,Disagree Moderately,Disagree Moderately,Neither Agree nor Disagree,Agree Slightly,Neutral,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,8,9,8,5,8,6,7,8,7,7,8,6,7,7,6,6,8,6,6,4,7,5,7,7,4,5,7,6,9,7
26- 35,Woman,Less than a high school diploma,Agree a Little,Disagree Moderately,Agree Moderately,Agree a Little,Agree a Little,Disagree Moderately,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Moderately,Agree Slightly,Disagree Slightly,Neutral,Agree Strongly,Neutral,Disagree Slightly,Neutral,Neutral,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Neutral,Neutral,Neutral,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Slightly,Disagree Very Much,2,6,10,6,10,10,1,5,4,1,1,1,1,2,4,1,10,2,1,4,3,1,10,10,2,10,2,1,10,10
Under 26,Man,"Some college, no degree",Disagree Moderately,Agree Strongly,Agree Strongly,Disagree a Little,Agree Moderately,Agree Strongly,Disagree a Little,Disagree a Little,Agree Moderately,Neither Agree nor Disagree,Disagree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Neutral,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Strongly,Neutral,Disagree Slightly,Neutral,Disagree Very Much,Neutral,Agree Strongly,Agree Strongly,Agree Strongly,Neutral,Agree Slightly,Disagree Very Much,Neutral,Disagree Slightly,Neutral,Agree Slightly,Neutral,Agree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Slightly,Neutral,3,6,6,7,8,6,2,7,7,4,4,3,1,2,1,3,5,7,3,4,4,1,5,5,5,5,5,7,8,7
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Agree Moderately,Agree Moderately,Agree Strongly,Neither Agree nor Disagree,Agree a Little,Agree Moderately,Agree Strongly,Disagree a Little,Agree Strongly,Disagree a Little,Disagree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Neutral,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Agree Strongly,Agree Strongly,Neutral,Disagree Slightly,1,5,1,9,10,6,5,7,7,4,5,7,4,5,4,3,3,4,2,6,2,2,8,6,4,5,4,1,7,4
26- 35,Man,"Some college, no degree",Agree Moderately,Agree Strongly,Agree Moderately,Disagree Moderately,Agree Moderately,Agree a Little,Agree Moderately,Disagree Strongly,Agree Moderately,Disagree Strongly,Neutral,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Agree Slightly,Disagree Slightly,Agree Slightly,Neutral,Disagree Slightly,Disagree Very Much,Neutral,Agree Strongly,Agree Slightly,Agree Slightly,Agree Strongly,Neutral,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Neutral,10,10,10,7,9,10,6,9,10,8,8,8,8,9,10,9,9,9,8,10,10,9,8,9,8,10,10,9,9,10
Under 26,Woman,High school degree or equivalent (e.g. GED),Agree a Little,Agree Moderately,Disagree a Little,Agree Strongly,Neither Agree nor Disagree,Disagree Moderately,Agree a Little,Agree Moderately,Disagree Strongly,Neither Agree nor Disagree,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Neutral,Disagree Slightly,Agree Strongly,Agree Slightly,Neutral,Neutral,Disagree Slightly,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Neutral,Neutral,Agree Slightly,Agree Slightly,Agree Strongly,Neutral,Agree Strongly,Neutral,Agree Slightly,Agree Strongly,Neutral,Disagree Slightly,Agree Slightly,Agree Strongly,Neutral,Agree Slightly,Neutral,4,2,2,7,10,10,6,10,6,5,9,5,4,6,4,3,2,6,1,1,9,9,10,10,8,10,5,1,5,3
26- 35,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree a Little,Disagree Strongly,Agree a Little,Agree Moderately,Agree Strongly,Agree a Little,Agree Moderately,Disagree a Little,Agree a Little,Disagree Moderately,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,Disagree Slightly,Agree Strongly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Slightly,1,1,4,7,10,10,1,4,6,4,5,10,1,5,3,1,2,4,1,1,2,1,10,4,5,3,2,2,4,7
36 - 45,Man,"Bachelor's degree (e.g. BA, BS)",Neither Agree nor Disagree,Disagree Moderately,Agree Moderately,Disagree Strongly,Agree Moderately,Agree a Little,Agree a Little,Disagree a Little,Agree Moderately,Disagree a Little,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree Slightly,Disagree Very Much,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree Slightly,Neutral,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Agree Slightly,Agree Slightly,Neutral,Neutral,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,5,10,10,3,6,5,5,6,6,4,6,6,6,6,7,7,7,7,6,8,6,6,6,7,6,7,8
26- 35,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree a Little,Agree a Little,Agree Strongly,Agree a Little,Agree Moderately,Agree Strongly,Agree Strongly,Disagree Moderately,Agree Strongly,Agree a Little,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Agree Strongly,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Neutral,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,5,8,9,8,10,8,5,10,7,7,9,8,5,10,7,7,10,9,6,10,7,9,8,6,3,7,6,8,8,6
36 - 45,Woman,"Associate degree (e.g. AA, AS)",Disagree a Little,Disagree a Little,Agree a Little,Disagree Moderately,Disagree a Little,Disagree a Little,Agree Moderately,Disagree a Little,Neither Agree nor Disagree,Disagree a Little,Agree Strongly,Agree Slightly,Agree Slightly,Agree Strongly,Neutral,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Neutral,Agree Slightly,Neutral,Agree Slightly,Neutral,Agree Strongly,Agree Slightly,Agree Strongly,Neutral,Agree Slightly,Agree Slightly,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,1,10,9,2,9,6,1,9,7,1,10,8,1,8,9,1,8,6,5,10,8,1,9,8,1,10,8,1,10,8
46 - 55,Woman,"Some college, no degree",Agree a Little,Disagree Strongly,Agree Strongly,Disagree a Little,Agree Moderately,Disagree a Little,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Strongly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,3,10,10,7,10,10,7,10,10,7,10,9,9,10,10,4,10,10,6,10,10,9,10,10,7,10,10,9,10,10
26- 35,Man,"Bachelor's degree (e.g. BA, BS)",Disagree a Little,Agree Moderately,Agree Moderately,Neither Agree nor Disagree,Agree Strongly,Agree Strongly,Disagree Moderately,Agree Moderately,Neither Agree nor Disagree,Agree Moderately,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Strongly,Agree Slightly,Disagree Very Much,Neutral,Agree Slightly,Disagree Slightly,Agree Strongly,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Agree Strongly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Agree Slightly,Disagree Very Much,Agree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Strongly,1,1,1,5,6,4,2,6,3,1,1,1,5,2,5,6,5,1,6,7,2,1,7,2,3,2,5,3,4,1
46 - 55,Woman,"Associate degree (e.g. AA, AS)",Agree Moderately,Disagree Strongly,Agree a Little,Agree a Little,Agree Strongly,Agree a Little,Agree Strongly,Agree a Little,Agree Strongly,Disagree a Little,Agree Strongly,Agree Slightly,Disagree Slightly,Agree Strongly,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Strongly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Strongly,Agree Slightly,Agree Slightly,Neutral,Disagree Slightly,Agree Strongly,Agree Slightly,Agree Strongly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,2,6,3,4,7,8,1,6,6,6,9,9,9,7,5,6,3,2,6,5,3,5,6,5,6,7,7,5,8,7
26- 35,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree a Little,Agree a Little,Agree Moderately,Agree a Little,Agree Strongly,Agree a Little,Agree Moderately,Disagree Moderately,Agree a Little,Disagree Moderately,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Disagree Slightly,Disagree Slightly,Agree Slightly,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Agree Strongly,Neutral,Disagree Slightly,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,7,9,5,5,8,6,1,6,3,4,6,6,7,7,10,7,3,9,1,3,1,6,3,4,2,7,3,9,10,6
26- 35,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree Moderately,Agree a Little,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Moderately,Disagree a Little,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Agree Slightly,Agree Slightly,Agree Strongly,Neutral,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Slightly,Neutral,Disagree Very Much,Agree Slightly,Agree Strongly,Neutral,Neutral,Disagree Slightly,1,2,10,3,2,10,8,7,10,7,5,8,8,5,10,5,5,10,6,3,10,4,6,9,8,3,8,10,3,10
Under 26,Woman,High school degree or equivalent (e.g. GED),Disagree Strongly,Disagree a Little,Disagree a Little,Agree Strongly,Agree a Little,Agree Strongly,Agree Strongly,Neither Agree nor Disagree,Agree a Little,Disagree Strongly,Agree Strongly,Disagree Slightly,Disagree Slightly,Neutral,Disagree Very Much,Neutral,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,Agree Strongly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,Agree Slightly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,5,9,8,1,9,9,2,7,5,3,9,6,3,8,9,3,8,9,7,9,10,6,9,9,5,10,10,5,9,9
